,时间,丰台街道,丰台街道_root,相对偏差
457,2018-11-28 23:00:00,76.1855216807759,53.0,0.4374626732221869
458,2018-11-28 22:00:00,77.43748785995757,54.2,0.42873593837560087
459,2018-11-28 21:00:00,79.85725712400506,52.1,0.5327688507486575
460,2018-11-28 20:00:00,75.23593819940542,51.5,0.46089200387195
461,2018-11-28 19:00:00,74.40486086862794,49.1,0.5153739484445607
462,2018-11-28 18:00:00,69.69705914484794,54.6,0.27650291474080474
463,2018-11-28 17:00:00,62.01972446629393,47.8,0.29748377544547977
464,2018-11-28 16:00:00,60.248764360516404,47.4,0.2710709780699664
465,2018-11-28 15:00:00,62.25701585180387,48.2,0.2916393330249765
466,2018-11-28 14:00:00,61.23054301535569,48.8,0.2547242421179446
467,2018-11-28 13:00:00,60.13916000414005,48.6,0.23743127580535084
468,2018-11-28 12:00:00,58.193947260232285,47.2,0.2329226114455992
469,2018-11-28 11:00:00,55.24084112359228,45.6,0.21142195446474302
470,2018-11-28 10:00:00,53.02791146628865,36.9,0.4370707714441369
471,2018-11-28 09:00:00,42.45388746010498,34.7,0.2234549700318437
472,2018-11-28 08:00:00,58.14377384997303,53.4,0.08883471629162981
473,2018-11-28 07:00:00,67.69828422968942,55.7,0.2154090525976556
474,2018-11-28 06:00:00,72.11130984908073,53.9,0.3378721678864699
475,2018-11-28 05:00:00,71.25275680636612,52.4,0.3597854352359947
476,2018-11-28 04:00:00,70.26039153745296,51.0,0.3776547360284894
477,2018-11-28 03:00:00,65.04837215898868,48.5,0.34120354966986977
478,2018-11-28 02:00:00,63.6376013701053,47.2,0.3482542663157902
479,2018-11-28 01:00:00,61.4705538938175,45.6,0.3480384625837171
480,2018-11-28 00:00:00,58.92110946056229,44.0,0.33911612410368847
481,2018-11-27 23:00:00,57.921009572757924,40.8,0.4196325875675963
482,2018-11-27 22:00:00,54.06031128547949,37.6,0.4377742363159439
483,2018-11-27 21:00:00,50.461685365655654,34.8,0.4500484300475764
503,2018-11-27 01:00:00,112.5930180261987,52.6,1.1405516735018766
504,2018-11-27 00:00:00,263.28877307401183,221.0,0.19135191436204446
505,2018-11-26 23:00:00,311.90318433492564,276.0,0.1300840012134987
506,2018-11-26 22:00:00,330.4698367681719,305.9,0.0803198325209935
