,时间,大红门街道,大红门街道_root,相对偏差
287,2018-12-06 01:00:00,30.44822004224562,43.4,0.29842810962567695
288,2018-12-06 00:00:00,39.75258414969845,54.0,0.2638410342648435
289,2018-12-05 23:00:00,40.78861382744302,54.0,0.24465529949179587
290,2018-12-05 22:00:00,55.34069260383063,58.9,0.060429667167561395
291,2018-12-05 21:00:00,72.47764514773134,66.5,0.08988940071776447
292,2018-12-05 20:00:00,65.08397162450899,64.6,0.007491820812832756
293,2018-12-05 19:00:00,49.27302061589185,63.9,0.22890421571374253
294,2018-12-05 18:00:00,57.66723852479221,59.9,0.037274815946707646
295,2018-12-05 17:00:00,42.06762935302137,56.7,0.2580665017103816
296,2018-12-05 16:00:00,48.010647574199226,51.5,0.0677544160349665
297,2018-12-05 15:00:00,42.33557405133719,50.6,0.16332857606052986
298,2018-12-05 14:00:00,41.87682647036358,49.1,0.14711147718200446
299,2018-12-05 13:00:00,49.605024727440195,57.7,0.14029419883119248
300,2018-12-05 12:00:00,50.226341785115025,56.9,0.11728749059551799
301,2018-12-05 11:00:00,44.938612449215825,56.0,0.19752477769257457
302,2018-12-05 10:00:00,41.261366217631156,53.4,0.22731523937020304
304,2018-12-05 08:00:00,33.42955551445357,48.0,0.30355092678221735
305,2018-12-05 07:00:00,34.52602490139113,43.1,0.19893213685867445
306,2018-12-05 06:00:00,33.1575782195942,38.4,0.13652140053140102
307,2018-12-05 05:00:00,35.936484145581005,33.6,0.06953821861848225
308,2018-12-05 04:00:00,30.49564207187507,31.3,0.025698336361818827
356,2018-12-03 04:00:00,59.814756616474966,31.5,0.8988811624277767
357,2018-12-03 03:00:00,55.21977941858957,40.2,0.3736263536962578
358,2018-12-03 02:00:00,113.32976450547692,86.9,0.30413998280180565
359,2018-12-03 01:00:00,191.020520238063,147.8,0.2924257120301961
360,2018-12-03 00:00:00,227.15502873330993,183.1,0.24060638303282328
361,2018-12-02 23:00:00,236.6539726164241,181.8,0.3017270220925418
363,2018-12-02 21:00:00,215.8790515355912,174.4,0.23783859825453668
364,2018-12-02 20:00:00,221.78888075588415,176.8,0.254461995225589
365,2018-12-02 19:00:00,215.0261059901866,171.6,0.2530658857236982
366,2018-12-02 18:00:00,212.41431118522007,176.3,0.2048457809711858
367,2018-12-02 17:00:00,211.51677731533198,176.3,0.19975483446019265
368,2018-12-02 16:00:00,215.99366369375366,173.6,0.24420313187646123
369,2018-12-02 15:00:00,218.3646882655629,173.9,0.2556911343620638
370,2018-12-02 14:00:00,227.57282657363967,175.6,0.29597281647858587
371,2018-12-02 13:00:00,217.295314148829,175.6,0.2374448413942426
372,2018-12-02 12:00:00,197.89485851134316,168.1,0.1772448453976393
373,2018-12-02 11:00:00,184.3517941626411,160.6,0.14789411060175042
374,2018-12-02 10:00:00,180.97923998194858,172.4,0.049763572981140224
375,2018-12-02 09:00:00,155.04687927176798,160.1,0.031562278127620344
376,2018-12-02 08:00:00,169.1442826669533,163.8,0.03262687830862814
377,2018-12-02 07:00:00,181.62592237767757,178.1,0.019797430531597833
378,2018-12-02 06:00:00,179.22553083190252,172.7,0.03778535513550972
379,2018-12-02 05:00:00,194.47234716603725,175.3,0.10936878018275664
380,2018-12-02 04:00:00,197.4276290627355,185.1,0.06659983286188816
381,2018-12-02 03:00:00,209.9614942713671,178.8,0.1742812878711805
382,2018-12-02 02:00:00,191.8840567702417,176.6,0.08654618782696322
383,2018-12-02 01:00:00,206.1063962308735,175.8,0.17239133237129392
384,2018-12-02 00:00:00,201.8011148092643,174.1,0.15911036650927232
385,2018-12-01 23:00:00,198.22753564720813,182.1,0.08856417159367455
386,2018-12-01 22:00:00,195.34022554179592,179.3,0.08946026515223594
387,2018-12-01 21:00:00,194.44984385271644,172.2,0.12920931389498522
388,2018-12-01 20:00:00,201.5551286932411,162.9,0.2372936076933155
389,2018-12-01 19:00:00,199.1152469888025,162.4,0.22607910707390705
390,2018-12-01 18:00:00,214.58055317007629,174.4,0.2303930801036484
391,2018-12-01 17:00:00,231.52775976148595,193.0,0.1996256982460412
392,2018-12-01 16:00:00,209.5147654533925,178.2,0.17572820119748886
393,2018-12-01 15:00:00,191.92419926767258,167.0,0.1492467022016322
394,2018-12-01 14:00:00,194.18381393871445,168.6,0.1517426686756492
395,2018-12-01 13:00:00,181.47782181722044,161.4,0.12439790469157644
396,2018-12-01 12:00:00,172.7912567721562,146.2,0.18188274125961845
397,2018-12-01 11:00:00,142.85368374350514,129.6,0.10226607826778665
398,2018-12-01 10:00:00,107.39765688894502,105.6,0.017023265993797613
399,2018-12-01 09:00:00,97.44712351518251,104.6,0.0683831403902245
400,2018-12-01 08:00:00,102.65367078010932,104.3,0.015784556278913463
401,2018-12-01 07:00:00,95.68329866042377,111.5,0.14185382367332938
402,2018-12-01 06:00:00,90.63908182045266,121.2,0.2521527902602916
403,2018-12-01 05:00:00,106.5782310963521,132.0,0.19258915836096896
404,2018-12-01 04:00:00,124.63004562382814,151.6,0.17790207372145025
405,2018-12-01 03:00:00,128.3812292661774,161.4,0.20457726600881415
406,2018-12-01 02:00:00,148.55187315908194,160.0,0.0715507927557379
407,2018-12-01 01:00:00,166.70421893805408,158.2,0.05375612476646078
408,2018-12-01 00:00:00,164.84092888943925,158.3,0.04131982873935087
409,2018-11-30 23:00:00,144.7958403525825,155.6,0.06943547331245176
410,2018-11-30 22:00:00,142.41206047292013,153.6,0.07283814796275953
411,2018-11-30 21:00:00,138.92429912992458,148.4,0.06385243173905275
412,2018-11-30 20:00:00,142.83473402552414,146.9,0.027673696218351692
413,2018-11-30 19:00:00,136.7800002411334,142.5,0.04014034918502882
414,2018-11-30 18:00:00,129.55632774570714,130.3,0.005707384913989829
415,2018-11-30 17:00:00,121.75677485057562,125.3,0.02827793415342676
416,2018-11-30 16:00:00,115.64999745513708,119.5,0.03221759451768132
417,2018-11-30 15:00:00,114.46215028891461,118.4,0.033258865803086075
418,2018-11-30 14:00:00,113.00443639929865,112.0,0.008968182136595131
419,2018-11-30 13:00:00,94.4164256773648,94.6,0.0019405319517462488
420,2018-11-30 12:00:00,74.80737933749495,74.8,9.865424458493476e-05
421,2018-11-30 11:00:00,63.90482388590902,70.0,0.08707394448701404
422,2018-11-30 10:00:00,63.909127831715246,79.7,0.1981288854238991
423,2018-11-30 09:00:00,58.003912564733064,69.8,0.16899838732474118
424,2018-11-30 08:00:00,69.23168908984047,76.2,0.09144764973962638
425,2018-11-30 07:00:00,74.39597223501279,86.7,0.14191496845429308
426,2018-11-30 06:00:00,70.3790875628467,83.2,0.15409750525424634
427,2018-11-30 05:00:00,71.02511783395622,79.8,0.10996092939904488
428,2018-11-30 04:00:00,73.62767845510243,79.4,0.07269926378964205
429,2018-11-30 03:00:00,71.65888386065102,76.2,0.05959469999145651
430,2018-11-30 02:00:00,70.07979390709636,74.0,0.05297575801221136
431,2018-11-30 01:00:00,67.35711002652505,75.6,0.109032936157076
432,2018-11-30 00:00:00,64.51344534276097,71.0,0.09135992474984543
433,2018-11-29 23:00:00,61.353173993772444,67.7,0.0937492763105991
434,2018-11-29 22:00:00,58.34123586898565,64.4,0.09408018836978814
435,2018-11-29 21:00:00,52.56233588732777,61.6,0.14671532650441935
436,2018-11-29 20:00:00,50.518495311788655,62.5,0.1917040750113815
437,2018-11-29 19:00:00,49.304788803767124,62.9,0.2161400826110155
438,2018-11-29 18:00:00,51.872514724701574,63.3,0.1805289932906544
439,2018-11-29 17:00:00,51.60274229325779,60.9,0.15266433015997058
440,2018-11-29 16:00:00,47.58159209396172,56.7,0.16081848158797682
441,2018-11-29 15:00:00,48.444935098879036,55.3,0.12396139061701558
442,2018-11-29 14:00:00,46.342968069788064,53.8,0.1386065414537534
443,2018-11-29 13:00:00,47.947131207925224,52.1,0.07970957374423757
444,2018-11-29 12:00:00,46.20844419385239,53.7,0.1395075569115012
445,2018-11-29 11:00:00,51.61685822921589,55.0,0.06151166855971103
446,2018-11-29 10:00:00,46.474798390144834,51.8,0.10280311988137382
447,2018-11-29 09:00:00,41.73761251157786,51.0,0.18161544094945378
448,2018-11-29 08:00:00,38.93758967667813,51.8,0.24830907960080828
449,2018-11-29 07:00:00,38.485973261170074,49.8,0.22718929194437598
450,2018-11-29 06:00:00,27.673147222303406,42.9,0.35493829318640074
451,2018-11-29 05:00:00,32.0486722100066,44.0,0.2716210861362136
452,2018-11-29 04:00:00,42.930741989107965,54.7,0.21516010988833706
453,2018-11-29 03:00:00,53.109498743428205,67.1,0.20850225419630092
454,2018-11-29 02:00:00,59.48978877755153,72.4,0.17831783456420544
455,2018-11-29 01:00:00,65.08914117218606,68.5,0.0497935595301305
456,2018-11-29 00:00:00,63.44357925475669,66.0,0.03873364765520164
457,2018-11-28 23:00:00,60.99248681576095,64.7,0.05730314040554953
458,2018-11-28 22:00:00,57.28588939226611,62.3,0.0804833163360175
459,2018-11-28 21:00:00,52.67423638893708,58.4,0.09804389744970747
460,2018-11-28 20:00:00,51.55372510939325,56.0,0.07939776590369199
461,2018-11-28 19:00:00,51.831908619154156,56.5,0.08262108638665211
462,2018-11-28 18:00:00,50.99709742322594,54.4,0.06255335619069964
463,2018-11-28 17:00:00,49.47097842331993,48.2,0.026368846956844903
464,2018-11-28 16:00:00,52.34658518823126,49.5,0.05750677147941938
465,2018-11-28 15:00:00,50.75476574617063,50.6,0.0030586115843997054
466,2018-11-28 14:00:00,51.40453752167274,51.1,0.005959638388898925
467,2018-11-28 13:00:00,55.30246312419785,53.0,0.043442700456563205
468,2018-11-28 12:00:00,53.21728352578936,54.4,0.021741111658283754
469,2018-11-28 11:00:00,53.3311614255066,56.3,0.05273247912066424
470,2018-11-28 10:00:00,62.733146915558095,61.7,0.016744682586030662
471,2018-11-28 09:00:00,61.59604489483192,67.4,0.08611209354848792
472,2018-11-28 08:00:00,62.01551311644933,66.9,0.07301176208595932
473,2018-11-28 07:00:00,58.113713174305225,62.9,0.07609359023362121
474,2018-11-28 06:00:00,58.00412503908025,60.8,0.04598478554144321
475,2018-11-28 05:00:00,53.5314646682831,55.3,0.03198074740898549
476,2018-11-28 04:00:00,49.866837367076414,55.4,0.09987658182172536
477,2018-11-28 03:00:00,48.986505793369446,52.7,0.07046478570456464
478,2018-11-28 02:00:00,46.79899821187602,49.7,0.0583702573063176
479,2018-11-28 01:00:00,44.75771930246147,48.2,0.07141661198212729
480,2018-11-28 00:00:00,45.6552277954097,45.4,0.0056217576081432205
481,2018-11-27 23:00:00,43.64706999743279,37.1,0.17647088941867348
502,2018-11-27 02:00:00,58.428045871948235,33.8,0.7286404104126698
503,2018-11-27 01:00:00,161.87787180997088,113.0,0.43254753814133523
504,2018-11-27 00:00:00,302.39281838349024,301.7,0.002296381781538775
505,2018-11-26 23:00:00,357.10202548397933,383.3,0.06834848556227675
506,2018-11-26 22:00:00,410.01507223201355,407.1,0.007160580280062708
507,2018-11-26 21:00:00,392.5432930568704,373.7,0.050423583240220594
508,2018-11-26 20:00:00,347.0502268245858,315.2,0.10104767393586876
