,时间,卢沟桥乡,卢沟桥乡_root,相对偏差
445,2018-11-29 11:00:00,58.89731490894905,39.4,0.4948557083489607
446,2018-11-29 10:00:00,44.41795324973564,38.4,0.156717532545199
447,2018-11-29 09:00:00,46.94530342448161,30.4,0.5442534021211056
448,2018-11-29 08:00:00,56.817635930918705,37.0,0.5356117819167218
449,2018-11-29 07:00:00,50.85903344867419,40.0,0.2714758362168547
450,2018-11-29 06:00:00,59.291251541731995,44.0,0.3475284441302726
451,2018-11-29 05:00:00,74.01628776103192,53.1,0.3939037243132188
452,2018-11-29 04:00:00,81.18241640216984,54.8,0.4814309562439752
453,2018-11-29 03:00:00,85.59499299779961,54.4,0.573437371283081
454,2018-11-29 02:00:00,83.23354123325736,54.1,0.5385127769548494
455,2018-11-29 01:00:00,73.76713600343115,52.9,0.3944638185903809
456,2018-11-29 00:00:00,71.69057948915886,53.0,0.35265244319167666
457,2018-11-28 23:00:00,70.46802511214854,51.0,0.3817259825911478
458,2018-11-28 22:00:00,72.72982987056281,50.8,0.43168956438115774
459,2018-11-28 21:00:00,73.03236296286579,51.7,0.4126182391269978
460,2018-11-28 20:00:00,69.22630207490174,50.1,0.3817625164651045
461,2018-11-28 19:00:00,69.4887487772725,48.5,0.4327577067478867
462,2018-11-28 18:00:00,66.62729371275776,46.3,0.4390344214418524
463,2018-11-28 17:00:00,59.60734508931027,46.0,0.2958118497676146
464,2018-11-28 16:00:00,56.220164816700446,44.2,0.27194943024209145
465,2018-11-28 15:00:00,58.10596660358639,44.0,0.3205901500815088
466,2018-11-28 14:00:00,59.7956479587994,43.6,0.37145981556879354
467,2018-11-28 13:00:00,59.98864939612275,43.8,0.36960386749138713
468,2018-11-28 12:00:00,55.997959173472196,39.8,0.4069838988309598
469,2018-11-28 11:00:00,53.878599385503506,40.7,0.3237985107003317
470,2018-11-28 10:00:00,54.662186068111694,37.1,0.4733742875501804
472,2018-11-28 08:00:00,51.233625471895635,34.1,0.5024523598796373
473,2018-11-28 07:00:00,49.77809323798917,34.3,0.45125636262359103
474,2018-11-28 06:00:00,52.012107219109524,35.0,0.48606020626027213
475,2018-11-28 05:00:00,55.64338765553385,45.8,0.21492112785008413
476,2018-11-28 04:00:00,60.21430428466827,45.2,0.33217487355460773
477,2018-11-28 03:00:00,57.8397545710134,44.4,0.3026971750228244
478,2018-11-28 02:00:00,55.573385352015606,44.5,0.24884012027001362
479,2018-11-28 01:00:00,51.369870004966074,44.8,0.14664888403942136
480,2018-11-28 00:00:00,50.4560676047378,38.7,0.3037743567115709
481,2018-11-27 23:00:00,53.65863892425582,37.8,0.41954071228190004
482,2018-11-27 22:00:00,51.05527573108474,33.2,0.5378095099724318
483,2018-11-27 21:00:00,46.97398939833433,32.8,0.4321338231199493
503,2018-11-27 01:00:00,139.48373192768625,55.3,1.5223097997773283
504,2018-11-27 00:00:00,265.077774891475,156.6,0.6927060976467112
505,2018-11-26 23:00:00,302.7161424298308,208.0,0.45536606937418667
506,2018-11-26 22:00:00,325.1334639112389,226.3,0.4367364733152403
507,2018-11-26 21:00:00,340.8838280484152,229.9,0.48274827337283677
508,2018-11-26 20:00:00,344.45577842230955,223.3,0.5425695406283454
509,2018-11-26 19:00:00,283.7806276405101,202.5,0.4013858155086918
510,2018-11-26 18:00:00,276.7567345886376,160.4,0.7254160510513564
511,2018-11-26 17:00:00,266.0133287149924,138.0,0.9276328167753072
512,2018-11-26 16:00:00,259.2955078649052,131.1,0.9778452163608329
513,2018-11-26 15:00:00,268.70981001720656,149.7,0.7949887108697835
514,2018-11-26 14:00:00,286.8392780769843,164.5,0.7437038180971688
515,2018-11-26 13:00:00,283.68617815171746,168.9,0.6796102910107605
516,2018-11-26 12:00:00,281.50132399060453,166.1,0.694770162496114
517,2018-11-26 11:00:00,275.50661551269286,156.9,0.7559376387042247
518,2018-11-26 10:00:00,279.6826367244648,169.2,0.6529706662202414
519,2018-11-26 09:00:00,250.49020195443902,166.2,0.5071612632637728
520,2018-11-26 08:00:00,214.44740109397014,143.4,0.4954491010737108
521,2018-11-26 07:00:00,203.32128650009628,128.9,0.5773567610558283
522,2018-11-26 06:00:00,177.3089838252028,119.0,0.4899914607159899
