,时间,马家堡街道,马家堡街道_root,相对偏差
385,2018-12-01 23:00:00,201.853454793695,97.2,1.0766816336799896
386,2018-12-01 22:00:00,200.93027780352227,92.7,1.1675326623896685
387,2018-12-01 21:00:00,214.3619028029932,87.5,1.4498503177484936
388,2018-12-01 20:00:00,209.19281149806858,88.6,1.3610926805651082
389,2018-12-01 19:00:00,213.30309684243352,91.1,1.341417089379073
390,2018-12-01 18:00:00,222.97384927993377,96.5,1.3106098370977592
391,2018-12-01 17:00:00,240.4318542476383,104.0,1.3118447523811376
392,2018-12-01 16:00:00,212.2912794590261,95.5,1.222945334649488
393,2018-12-01 15:00:00,189.81907178184866,85.3,1.225311509752036
394,2018-12-01 14:00:00,198.02480287510906,89.1,1.2225005934355675
395,2018-12-01 13:00:00,201.14186644296115,84.9,1.3691621489159145
396,2018-12-01 12:00:00,165.2316419702052,79.7,1.073169911796803
397,2018-12-01 11:00:00,128.12479168744935,63.0,1.0337268521817355
398,2018-12-01 10:00:00,105.48541356423527,65.7,0.6055618502927742
399,2018-12-01 09:00:00,107.86827414558566,52.8,1.042959737605789
400,2018-12-01 08:00:00,102.82937734633433,49.3,1.085788587146741
401,2018-12-01 07:00:00,97.93818689748845,60.5,0.618813006570057
402,2018-12-01 06:00:00,101.85507532690656,62.2,0.6375414039695587
403,2018-12-01 05:00:00,126.72117940851956,64.6,0.9616281642185692
404,2018-12-01 04:00:00,128.1336223229053,59.4,1.1571316889377996
405,2018-12-01 03:00:00,131.17949971486846,44.2,1.9678619844992862
406,2018-12-01 02:00:00,144.1790235182812,60.9,1.3674716505464894
407,2018-12-01 01:00:00,159.01578401025432,67.1,1.3698328466505862
408,2018-12-01 00:00:00,165.8173948335252,75.3,1.2020902368330042
409,2018-11-30 23:00:00,165.16852174575337,76.4,1.161891645886824
410,2018-11-30 22:00:00,159.84127953559116,70.4,1.2704727206760105
411,2018-11-30 21:00:00,154.0769902429377,74.2,1.0765093024654677
412,2018-11-30 20:00:00,152.66540482207284,64.6,1.3632415607132022
413,2018-11-30 19:00:00,150.1651983961749,64.3,1.3353841119156284
414,2018-11-30 18:00:00,140.9933973605859,61.6,1.2888538532562648
415,2018-11-30 17:00:00,135.40178716588338,59.1,1.2910623885936274
416,2018-11-30 16:00:00,128.23374080022649,53.2,1.4104086616583924
417,2018-11-30 15:00:00,127.45774322022939,52.0,1.4511104465428728
418,2018-11-30 14:00:00,126.27830837863227,50.9,1.4809097913287286
419,2018-11-30 13:00:00,107.85317040687782,53.2,1.027315233211989
420,2018-11-30 12:00:00,86.88520830064776,57.3,0.5163212617914095
421,2018-11-30 11:00:00,72.41029063629148,54.4,0.33107151904947574
422,2018-11-30 10:00:00,65.94664939019292,52.3,0.26093019866525663
423,2018-11-30 09:00:00,68.33093235725399,52.7,0.2966021320162046
424,2018-11-30 08:00:00,75.18736597375496,59.5,0.2636532096429406
425,2018-11-30 07:00:00,78.23461026488908,62.4,0.25375977988604304
426,2018-11-30 06:00:00,71.92883961775138,58.2,0.23589071508163875
427,2018-11-30 05:00:00,78.62385954952802,59.1,0.330352953460711
428,2018-11-30 04:00:00,80.8487862428628,59.2,0.3656889568051148
429,2018-11-30 03:00:00,77.87423162228329,56.7,0.37344323848824135
430,2018-11-30 02:00:00,75.76485990357925,58.3,0.29956878050736285
431,2018-11-30 01:00:00,71.49379086975796,56.8,0.2586935012281331
432,2018-11-30 00:00:00,69.0733715391277,52.2,0.3232446655005307
433,2018-11-29 23:00:00,68.45383436329317,51.6,0.32662469696304586
434,2018-11-29 22:00:00,64.45214500389224,49.9,0.2916261523826101
435,2018-11-29 21:00:00,62.03243013269961,47.7,0.30047023338992884
436,2018-11-29 20:00:00,58.1847628650507,46.8,0.2432641637831347
437,2018-11-29 19:00:00,57.408399066242275,44.1,0.3017777566041332
438,2018-11-29 18:00:00,60.522246798289395,45.8,0.32144643664387335
439,2018-11-29 17:00:00,58.87031457363328,45.2,0.3024405879122406
440,2018-11-29 16:00:00,57.20323741585531,42.8,0.3365242386882083
441,2018-11-29 15:00:00,52.03697375986985,40.4,0.2880439049472736
442,2018-11-29 14:00:00,50.97092493630627,38.9,0.31030655363255194
443,2018-11-29 13:00:00,55.78798956435573,39.9,0.3981952271768355
444,2018-11-29 12:00:00,54.225720588938906,38.4,0.4121281403369507
445,2018-11-29 11:00:00,51.68118779857123,37.7,0.37085378776051
446,2018-11-29 10:00:00,47.128318389972364,33.9,0.3902158817100993
453,2018-11-29 03:00:00,83.37699962182741,35.5,1.3486478766711947
454,2018-11-29 02:00:00,82.10992450793543,42.1,0.9503545013761384
455,2018-11-29 01:00:00,75.0302476327684,42.8,0.7530431689899159
456,2018-11-29 00:00:00,68.41082093876898,45.5,0.5035345261267907
457,2018-11-28 23:00:00,59.72005137072485,44.5,0.34202362630842364
458,2018-11-28 22:00:00,53.31565543201943,41.0,0.30038183980535205
459,2018-11-28 21:00:00,52.54406988011242,40.4,0.30059578911169355
460,2018-11-28 20:00:00,53.11673981614462,38.2,0.3904905711032623
461,2018-11-28 19:00:00,53.620043450657036,35.8,0.49776657683399556
462,2018-11-28 18:00:00,50.09268571813894,38.9,0.2877297099778648
463,2018-11-28 17:00:00,47.997913776511595,39.0,0.23071573785927166
464,2018-11-28 16:00:00,50.78431707548039,38.9,0.3055094363876707
465,2018-11-28 15:00:00,52.7016844187709,39.2,0.34443072496864535
466,2018-11-28 14:00:00,51.709123847242154,38.6,0.3396146074415065
467,2018-11-28 13:00:00,51.47329663470329,36.7,0.4025421426349669
468,2018-11-28 12:00:00,52.95840464043137,34.4,0.5394885069892841
469,2018-11-28 11:00:00,55.91108434654727,36.6,0.5276252553701439
470,2018-11-28 10:00:00,60.67375629636992,41.8,0.45152527024808436
471,2018-11-28 09:00:00,60.557544304469204,41.0,0.47701327571876107
472,2018-11-28 08:00:00,63.16772925433528,40.8,0.5482286581944922
473,2018-11-28 07:00:00,64.35538002549448,39.2,0.6417188782013897
474,2018-11-28 06:00:00,55.6837300329827,39.0,0.427787949563659
475,2018-11-28 05:00:00,55.21209073613342,38.1,0.449136239793528
476,2018-11-28 04:00:00,48.799977557527924,34.2,0.4268999285826877
477,2018-11-28 03:00:00,49.70523864015243,31.5,0.5779440838143629
503,2018-11-27 01:00:00,194.14909902981654,52.6,2.6910475100725577
504,2018-11-27 00:00:00,347.48543454864915,144.6,1.4030804602257896
505,2018-11-26 23:00:00,395.79504189348864,179.8,1.2013072407869223
506,2018-11-26 22:00:00,410.91779184045566,203.9,1.0152907888202827
507,2018-11-26 21:00:00,410.76565471632324,197.6,1.0787735562566967
508,2018-11-26 20:00:00,392.0693325140867,180.2,1.1757454634522015
509,2018-11-26 19:00:00,340.5905414526044,158.8,1.1447767093992718
510,2018-11-26 18:00:00,307.3629984010573,140.8,1.1829758409166002
511,2018-11-26 17:00:00,305.356465291164,141.1,1.1641138574852163
512,2018-11-26 16:00:00,286.9702581504861,139.0,1.064534231298461
513,2018-11-26 15:00:00,222.6070367964422,122.9,0.8112858974486753
514,2018-11-26 14:00:00,298.8972193379662,145.5,1.054276421566778
515,2018-11-26 13:00:00,334.07216814496496,159.4,1.0958103396798302
516,2018-11-26 12:00:00,323.11598025763516,146.9,1.1995641950826081
517,2018-11-26 11:00:00,296.67732966473324,142.5,1.0819461730858473
518,2018-11-26 10:00:00,259.1951013563267,125.5,1.0652996124010095
519,2018-11-26 09:00:00,228.9742776974264,109.4,1.0930007102141353
520,2018-11-26 08:00:00,227.91355274446104,108.4,1.102523549303146
521,2018-11-26 07:00:00,227.47825157416173,113.6,1.0024493976598745
522,2018-11-26 06:00:00,212.17932852951725,111.6,0.9012484635261403
523,2018-11-26 05:00:00,209.06593889044092,118.9,0.7583342211138848
524,2018-11-26 04:00:00,211.54002160829563,112.9,0.8736937254942039
525,2018-11-26 03:00:00,191.3715370373813,105.0,0.8225860670226791
526,2018-11-26 02:00:00,184.41150950509896,100.0,0.8441150950509896
527,2018-11-26 01:00:00,180.32808349264053,88.2,1.0445360940208677
528,2018-11-26 00:00:00,166.8349099466431,83.6,0.9956328940986019
529,2018-11-25 23:00:00,154.9624050553236,76.4,1.0283037310906227
530,2018-11-25 22:00:00,152.74761744073308,73.8,1.0697509138310717
531,2018-11-25 21:00:00,152.2394569051437,68.9,1.209571217781476
532,2018-11-25 20:00:00,133.7774560370085,59.2,1.2597543249494678
533,2018-11-25 19:00:00,103.91153347113743,59.8,0.7376510613902582
534,2018-11-25 18:00:00,78.03882995204788,51.8,0.5065411187654031
535,2018-11-25 17:00:00,66.5524487965603,44.6,0.492207372120186
536,2018-11-25 16:00:00,64.28333711017386,42.1,0.5269201213818019
537,2018-11-25 15:00:00,76.34643024033957,48.5,0.5741532008317437
538,2018-11-25 14:00:00,94.37681994814518,59.2,0.5942030396646145
539,2018-11-25 13:00:00,77.4889017994666,45.7,0.6955996017388753
540,2018-11-25 12:00:00,58.143424140814105,44.6,0.3036642184039037
541,2018-11-25 11:00:00,70.75070292686891,48.7,0.45278650773858126
542,2018-11-25 10:00:00,96.96601037764864,59.6,0.6269464828464537
543,2018-11-25 09:00:00,120.63023055993662,61.5,0.9614671635762052
544,2018-11-25 08:00:00,127.69180513652873,49.9,1.5589540107520787
545,2018-11-25 07:00:00,144.2408469148483,56.2,1.5665631123638488
546,2018-11-25 06:00:00,137.92590129605506,55.6,1.4806816779866019
547,2018-11-25 05:00:00,146.92933613013298,59.4,1.473557847308636
548,2018-11-25 04:00:00,175.58114709895307,69.4,1.529987710359554
549,2018-11-25 03:00:00,180.7442722707353,87.8,1.0585908003500606
550,2018-11-25 02:00:00,180.58355057978724,87.3,1.06854009827935
551,2018-11-25 01:00:00,175.58483138810342,85.9,1.0440609009092365
552,2018-11-25 00:00:00,170.90268943651893,82.6,1.06903982368667
553,2018-11-24 23:00:00,167.22067132612304,84.7,0.9742700274630819
554,2018-11-24 22:00:00,177.25939915780683,88.7,0.9984148721286
555,2018-11-24 21:00:00,192.0885165683582,99.5,0.9305378549583737
556,2018-11-24 20:00:00,193.18514150489895,96.7,0.9977780920878898
557,2018-11-24 19:00:00,186.83912718765058,91.4,1.0441917635410347
558,2018-11-24 18:00:00,173.62678479548518,87.4,0.986576485074201
559,2018-11-24 17:00:00,156.88628818867332,73.7,1.1287149007961101
560,2018-11-24 16:00:00,128.27185374725434,52.4,1.4479361402147775
561,2018-11-24 15:00:00,127.34078811837084,54.5,1.3365282223554282
562,2018-11-24 14:00:00,117.47366752757394,52.6,1.2333396868360063
563,2018-11-24 13:00:00,135.44100529038147,49.7,1.7251711326032486
564,2018-11-24 12:00:00,116.63995523968443,60.0,0.9439992539947404
565,2018-11-24 11:00:00,90.91164044417751,51.7,0.7584456565604932
566,2018-11-24 10:00:00,59.178258645543444,37.8,0.56556239803025
567,2018-11-24 09:00:00,70.6270971253378,42.2,0.6736278939653505
568,2018-11-24 08:00:00,68.03422046118293,42.4,0.6045806712543144
