,时间,王佐镇,王佐镇_root,相对偏差
483,2018-11-27 21:00:00,59.85291519068554,36.2,0.6533954472565066
484,2018-11-27 20:00:00,53.99212415040618,32.2,0.6767740419380799
485,2018-11-27 19:00:00,62.345289809424195,41.9,0.48795441072611445
503,2018-11-27 01:00:00,245.2097970946072,108.8,1.2537665174136692
504,2018-11-27 00:00:00,227.69724319362638,126.8,0.7957195835459494
505,2018-11-26 23:00:00,251.38882853815986,146.2,0.7194858313143631
506,2018-11-26 22:00:00,306.0167673302858,164.9,0.8557717849016725
507,2018-11-26 21:00:00,309.71436874696525,170.5,0.8165065615657786
508,2018-11-26 20:00:00,319.34191037317186,165.5,0.9295583708348752
509,2018-11-26 19:00:00,305.2147158965168,160.4,0.9028348871353914
510,2018-11-26 18:00:00,316.23345145144776,163.8,0.9306071517182402
511,2018-11-26 17:00:00,289.8569813409588,156.2,0.8556784977014008
512,2018-11-26 16:00:00,243.3925262978472,135.0,0.8029076022062757
513,2018-11-26 15:00:00,203.44964702231653,105.4,0.9302623057145779
514,2018-11-26 14:00:00,188.58559453673075,115.8,0.6285457213880031
515,2018-11-26 13:00:00,228.0950557884342,132.9,0.7162908637203476
516,2018-11-26 12:00:00,215.09461904194345,126.4,0.7016979354584133
517,2018-11-26 11:00:00,158.00507224725,103.6,0.5251454850120658
518,2018-11-26 10:00:00,126.77431122966374,68.3,0.856139256656863
519,2018-11-26 09:00:00,117.1409364126193,61.9,0.8924222360681632
520,2018-11-26 08:00:00,85.65582885798324,62.5,0.3704932617277318
521,2018-11-26 07:00:00,110.71934442341738,60.5,0.830071808651527
522,2018-11-26 06:00:00,107.57757565026546,57.0,0.8873258886011484
523,2018-11-26 05:00:00,101.57056925209672,55.8,0.8202610977078266
524,2018-11-26 04:00:00,73.12694589850548,55.8,0.31051874370081517
525,2018-11-26 03:00:00,102.34927659797306,57.4,0.7830884424733983
526,2018-11-26 02:00:00,86.90525512016312,58.1,0.49578752358284195
527,2018-11-26 01:00:00,120.91368573308182,63.8,0.8951988359417214
528,2018-11-26 00:00:00,125.1147326874233,70.7,0.7696567565406407
529,2018-11-25 23:00:00,137.67282292518087,78.4,0.7560309046579191
530,2018-11-25 22:00:00,147.4112782268963,76.7,0.9219201854875656
531,2018-11-25 21:00:00,148.24334719610528,79.7,0.8600169033388365
532,2018-11-25 20:00:00,134.41597655159273,66.7,1.0152320322577622
533,2018-11-25 19:00:00,110.53763575061745,74.9,0.4758028805155867
