,时间,南苑街道,南苑街道_root,相对偏差
481,2018-11-27 23:00:00,27.527326722181453,44.8,0.3855507428084497
482,2018-11-27 22:00:00,18.829793246623524,37.8,0.5018573215178962
483,2018-11-27 21:00:00,17.490776728685283,31.1,0.43759560357925137
503,2018-11-27 01:00:00,201.10969017875703,124.8,0.6114558507913225
504,2018-11-27 00:00:00,379.7304152458662,362.9,0.04637755647800006
505,2018-11-26 23:00:00,414.0495909544209,383.5,0.07965995033747307
506,2018-11-26 22:00:00,418.83845434196144,382.7,0.0944302439037404
507,2018-11-26 21:00:00,408.5495850109935,373.4,0.09413386451792588
508,2018-11-26 20:00:00,352.66242232091344,334.8,0.0533525158928119
509,2018-11-26 19:00:00,354.82386444627485,289.5,0.22564374592841055
510,2018-11-26 18:00:00,344.3618602790385,259.1,0.32906931794302774
511,2018-11-26 17:00:00,341.76389302808855,257.4,0.32775405216817627
512,2018-11-26 16:00:00,319.572369250795,271.0,0.17923383487378236
513,2018-11-26 15:00:00,319.47618296267217,279.8,0.14180194053849948
514,2018-11-26 14:00:00,361.3928250547447,290.5,0.24403726352752056
515,2018-11-26 13:00:00,365.53872403410577,286.8,0.2745422734801456
516,2018-11-26 12:00:00,336.9175019718311,280.5,0.20113191433807873
517,2018-11-26 11:00:00,299.55573577113864,262.1,0.1429062791726006
518,2018-11-26 10:00:00,303.6546411049552,263.8,0.1510790034304594
519,2018-11-26 09:00:00,281.5641711021872,249.2,0.12987227569095983
520,2018-11-26 08:00:00,243.2780716546229,242.2,0.004451162901002903
521,2018-11-26 07:00:00,230.39156768002618,235.2,0.020444014965875015
522,2018-11-26 06:00:00,217.36606889703376,213.0,0.020497976042412
523,2018-11-26 05:00:00,205.76970891995305,211.6,0.027553360491715254
524,2018-11-26 04:00:00,211.47296471683904,211.6,0.0006003557805337903
525,2018-11-26 03:00:00,195.0234694574984,202.6,0.03739649823544712
526,2018-11-26 02:00:00,174.5278994933364,178.4,0.021704599252598652
527,2018-11-26 01:00:00,164.1566130527366,176.4,0.0694069554833527
528,2018-11-26 00:00:00,153.98252739335857,167.3,0.07960234672230392
529,2018-11-25 23:00:00,141.61818885093373,149.8,0.05461823196973482
530,2018-11-25 22:00:00,141.23291507421214,142.5,0.008891824040616532
531,2018-11-25 21:00:00,124.9072556364805,121.7,0.026353785016273595
532,2018-11-25 20:00:00,107.74647646929472,117.8,0.0853440028073453
533,2018-11-25 19:00:00,81.34548548873326,96.4,0.15616716297994548
534,2018-11-25 18:00:00,64.65117365494214,77.1,0.16146337671929772
535,2018-11-25 17:00:00,54.25324063314388,70.4,0.22935737737011538
536,2018-11-25 16:00:00,46.110017291441665,59.6,0.2263419917543345
537,2018-11-25 15:00:00,48.15401498636345,63.5,0.24166905533285907
538,2018-11-25 14:00:00,62.65924497097805,76.7,0.18306069138229403
539,2018-11-25 13:00:00,56.257929291449614,74.4,0.24384503640524718
