,时间,西罗园街道,西罗园街道_root,相对偏差
524,2018-11-26 04:00:00,200.07305378026746,101.6,0.9692229702782231
525,2018-11-26 03:00:00,193.49313224440647,101.2,0.9119874727708148
526,2018-11-26 02:00:00,192.0784580106063,98.0,0.9599842654143501
527,2018-11-26 01:00:00,183.04664465816262,92.9,0.9703621599371648
528,2018-11-26 00:00:00,164.8381323127363,81.9,1.0126756082141182
529,2018-11-25 23:00:00,153.79204628330274,81.4,0.889337177927552
530,2018-11-25 22:00:00,154.55484068548947,80.5,0.9199359091365151
531,2018-11-25 21:00:00,143.46383353580183,78.0,0.8392799171256644
532,2018-11-25 20:00:00,120.60611939418729,69.6,0.7328465430199325
533,2018-11-25 19:00:00,94.28964404661119,58.1,0.6228854397007089
534,2018-11-25 18:00:00,67.78048535218639,46.2,0.46711007255814685
535,2018-11-25 17:00:00,61.16704862179139,41.2,0.48463710247066466
536,2018-11-25 16:00:00,60.283510593422676,37.9,0.5905939470560073
537,2018-11-25 15:00:00,72.77540481447046,44.3,0.6427856617261957
538,2018-11-25 14:00:00,73.54604108257702,47.0,0.5648093847356813
539,2018-11-25 13:00:00,59.80234999984256,41.4,0.4445012077256658
540,2018-11-25 12:00:00,63.49698045103292,41.9,0.5154410608838406
541,2018-11-25 11:00:00,72.37683963946772,46.5,0.5564911750423165
542,2018-11-25 10:00:00,87.00404066500428,48.3,0.801325893685389
543,2018-11-25 09:00:00,92.50237199976333,45.4,1.0374971806115272
544,2018-11-25 08:00:00,100.52465083732406,50.1,1.0064800566332148
545,2018-11-25 07:00:00,101.73169948899141,47.7,1.1327400312157527
546,2018-11-25 06:00:00,100.41154191585439,48.2,1.083227010702373
547,2018-11-25 05:00:00,119.10209280823432,52.8,1.2557214547014077
548,2018-11-25 04:00:00,151.34497287073958,69.1,1.1902311558717742
549,2018-11-25 03:00:00,154.3294140298384,70.2,1.1984247012797493
550,2018-11-25 02:00:00,165.41925167680782,78.0,1.1207596368821515
551,2018-11-25 01:00:00,165.22110333416626,73.1,1.260206611958499
552,2018-11-25 00:00:00,168.11261833264982,78.5,1.141562016976431
553,2018-11-24 23:00:00,161.1454740372525,71.6,1.2506351122521302
