,时间,羊坊村盛芳花卉,羊坊村盛芳花卉_root,相对偏差
342,2018-12-03 18:00:00,35.06878215394906,45.8,0.23430606650766242
343,2018-12-03 17:00:00,33.22752461587014,43.8,0.2413807165326452
344,2018-12-03 16:00:00,27.90750263968288,42.9,0.34947546294445503
345,2018-12-03 15:00:00,19.60457695171283,39.7,0.506181940762901
346,2018-12-03 14:00:00,30.80878148401334,43.6,0.29337657146758395
347,2018-12-03 13:00:00,37.28996890525765,45.5,0.18044024384049118
348,2018-12-03 12:00:00,37.37999607375083,47.6,0.21470596483716742
349,2018-12-03 11:00:00,38.63394271460075,47.7,0.1900640940335273
350,2018-12-03 10:00:00,38.15274076363873,47.4,0.19508985730719972
351,2018-12-03 09:00:00,49.86230213360925,45.3,0.10071307138210267
352,2018-12-03 08:00:00,50.62014205025779,46.9,0.07932072601828981
353,2018-12-03 07:00:00,54.322168253538685,51.4,0.05685152244238689
354,2018-12-03 06:00:00,59.46661646692281,53.1,0.11989861519628638
355,2018-12-03 05:00:00,63.07457033684271,56.3,0.12032984612509262
356,2018-12-03 04:00:00,70.47536363984914,58.2,0.2109169010283356
357,2018-12-03 03:00:00,83.38906641214909,63.7,0.3090905245235336
358,2018-12-03 02:00:00,120.9660268701386,78.9,0.5331562340955462
359,2018-12-03 01:00:00,204.04695125844404,108.8,0.8754315373018754
360,2018-12-03 00:00:00,245.68088899973898,111.2,1.2093605125875806
361,2018-12-02 23:00:00,233.54298169757504,117.1,0.9943892544626393
363,2018-12-02 21:00:00,212.9190465535583,117.3,0.8151666372852371
364,2018-12-02 20:00:00,237.26074079523534,123.2,0.925817701260027
365,2018-12-02 19:00:00,235.3433829703627,122.5,0.9211704732274507
366,2018-12-02 18:00:00,226.27694124051453,121.7,0.8593010783937102
367,2018-12-02 17:00:00,223.40967542206093,126.8,0.7619059575872313
368,2018-12-02 16:00:00,217.3516775996118,128.4,0.6927700747633317
369,2018-12-02 15:00:00,216.24506445059507,127.7,0.6933834334424046
370,2018-12-02 14:00:00,173.44557135259046,128.1,0.35398572484457824
371,2018-12-02 13:00:00,178.96014943338665,130.8,0.3681968611115186
372,2018-12-02 12:00:00,188.03290390059902,130.3,0.4430767759063623
373,2018-12-02 11:00:00,191.91900788052817,134.1,0.4311633697280252
374,2018-12-02 10:00:00,173.1942608807716,132.5,0.30712649721337054
375,2018-12-02 09:00:00,151.9465307257848,129.0,0.17788008314561868
376,2018-12-02 08:00:00,153.59766510089722,124.9,0.22976513291350847
377,2018-12-02 07:00:00,156.48233573061486,121.0,0.2932424440546683
378,2018-12-02 06:00:00,161.29541413122726,114.4,0.40992494869953894
379,2018-12-02 05:00:00,173.4459002816994,121.0,0.4334371924107389
380,2018-12-02 04:00:00,183.24764918187813,118.4,0.5476997397118085
381,2018-12-02 03:00:00,172.13649113947272,122.4,0.40634388185843723
382,2018-12-02 02:00:00,195.6640738644228,124.8,0.5678211046828749
383,2018-12-02 01:00:00,198.5562410885806,128.1,0.5500096884354458
384,2018-12-02 00:00:00,188.73356415894705,125.7,0.5014603353933734
385,2018-12-01 23:00:00,181.72364903254058,122.8,0.47983427550928814
386,2018-12-01 22:00:00,181.28860423835582,127.8,0.4185336794863523
387,2018-12-01 21:00:00,182.20877797857113,129.5,0.40701759056811687
388,2018-12-01 20:00:00,195.38205385957468,133.3,0.4657318369060365
389,2018-12-01 19:00:00,182.5762848553738,121.7,0.500215980734378
