,时间,小瓦窑村,小瓦窑村_root,相对偏差
559,2018-11-24 17:00:00,125.11565394839101,79.9,0.5659030531713517
560,2018-11-24 16:00:00,141.49473711207511,82.8,0.7088736366192647
561,2018-11-24 15:00:00,129.0182678617253,79.0,0.6331426311610796
562,2018-11-24 14:00:00,87.07963974931589,60.6,0.436957751638876
563,2018-11-24 13:00:00,109.05738012066017,70.3,0.5513140842199171
564,2018-11-24 12:00:00,108.96894148786619,60.8,0.7922523271030624
565,2018-11-24 11:00:00,74.60270426687998,53.0,0.4075981937147167
566,2018-11-24 10:00:00,50.6397631344676,42.8,0.1831720358520468
567,2018-11-24 09:00:00,55.432216956149276,45.4,0.22097394176540258
568,2018-11-24 08:00:00,55.23594918023768,46.0,0.20078150391821048
569,2018-11-24 07:00:00,58.668240287153495,46.9,0.2509219677431449
570,2018-11-24 06:00:00,59.51267594520637,43.1,0.3808045462924911
571,2018-11-24 05:00:00,57.84363970999239,43.1,0.34207980765643586
572,2018-11-24 04:00:00,62.545803016998754,47.2,0.32512294527539726
573,2018-11-24 03:00:00,94.91472417024167,63.1,0.5041953117312467
574,2018-11-24 02:00:00,115.83551149018658,66.6,0.7392719442970959
575,2018-11-24 01:00:00,123.2418620907712,70.6,0.7456354403791957
576,2018-11-24 00:00:00,121.06879873896094,71.8,0.6861949685092054
577,2018-11-23 23:00:00,129.67605910738882,73.5,0.764300123910052
578,2018-11-23 22:00:00,129.8277118729046,72.8,0.7833476905618763
579,2018-11-23 21:00:00,124.04011170212588,71.1,0.7445866624771574
580,2018-11-23 20:00:00,126.0619145949145,67.8,0.8593202742612759
581,2018-11-23 19:00:00,106.75284731580378,62.9,0.6971835821272461
582,2018-11-23 18:00:00,99.73065933633907,62.4,0.5982477457746647
583,2018-11-23 17:00:00,93.38779680214587,60.7,0.5385139506119583
584,2018-11-23 16:00:00,86.37103489167322,61.2,0.4112914197985819
585,2018-11-23 15:00:00,67.25674225575833,53.5,0.25713536926651076
586,2018-11-23 14:00:00,52.93111575163922,49.1,0.07802679738572743
587,2018-11-23 13:00:00,52.9053933231292,48.7,0.08635304564947023
588,2018-11-23 12:00:00,53.15123813376306,48.8,0.08916471585580045
589,2018-11-23 11:00:00,51.53950140108403,46.9,0.09892327081202629
