,时间,太平桥街道,太平桥街道_root,相对偏差
525,2018-11-26 03:00:00,191.55717083704297,188.4,0.016757806990673932
526,2018-11-26 02:00:00,180.87698790373534,168.4,0.07409137710056612
527,2018-11-26 01:00:00,162.21924605577837,159.3,0.01832546174374362
528,2018-11-26 00:00:00,151.43589822269647,155.8,0.02801092283250029
529,2018-11-25 23:00:00,141.4868824168199,147.8,0.04271392140175991
530,2018-11-25 22:00:00,140.21795175918388,139.5,0.005146607592715957
531,2018-11-25 21:00:00,137.20370924651107,132.4,0.0362817918920775
532,2018-11-25 20:00:00,121.16833617611101,115.7,0.04726306115912713
533,2018-11-25 19:00:00,107.53753018994044,102.4,0.05017119326113706
534,2018-11-25 18:00:00,81.27712796834771,74.8,0.08659261989769675
535,2018-11-25 17:00:00,68.27009826908825,69.9,0.02331762132920965
536,2018-11-25 16:00:00,77.70676100121113,77.6,0.0013757860980817035
537,2018-11-25 15:00:00,89.75809736919788,87.6,0.024635814716870888
538,2018-11-25 14:00:00,70.24259131652516,80.6,0.12850382981978697
539,2018-11-25 13:00:00,64.22517467445542,63.6,0.009829790478858732
540,2018-11-25 12:00:00,65.50208873106871,68.0,0.03673398924898956
541,2018-11-25 11:00:00,78.05385473427415,85.0,0.0817193560673629
542,2018-11-25 10:00:00,98.85389947093435,109.7,0.09887056088482818
543,2018-11-25 09:00:00,107.66995429973261,108.9,0.011295185493731832
544,2018-11-25 08:00:00,95.41676530743436,94.9,0.005445366780130187
545,2018-11-25 07:00:00,88.88476421199313,88.5,0.0043476182146116316
546,2018-11-25 06:00:00,98.64872730176978,102.5,0.03757339217785579
547,2018-11-25 05:00:00,130.48905984107,138.8,0.05987709048220467
548,2018-11-25 04:00:00,145.3288275175527,155.8,0.0672090659977363
549,2018-11-25 03:00:00,141.04045170784542,154.5,0.08711681742494873
550,2018-11-25 02:00:00,157.58139039634764,163.5,0.036199447117139794
551,2018-11-25 01:00:00,179.98168839273336,189.1,0.04821952198448775
552,2018-11-25 00:00:00,182.10604001278324,194.6,0.06420328873184356
553,2018-11-24 23:00:00,188.1109617569499,192.3,0.021783870218669298
554,2018-11-24 22:00:00,182.680740826357,183.4,0.003921805745054504
555,2018-11-24 21:00:00,162.81371271899218,170.4,0.04452046526413044
556,2018-11-24 20:00:00,173.80879822356312,177.4,0.02024352748837029
557,2018-11-24 19:00:00,172.09514826894127,184.0,0.0647002811470583
558,2018-11-24 18:00:00,154.89113963170453,165.1,0.061834405622625446
559,2018-11-24 17:00:00,125.23054579400207,137.3,0.08790571162416563
560,2018-11-24 16:00:00,121.38472806207919,134.5,0.0975113155235748
561,2018-11-24 15:00:00,99.56451266822728,110.4,0.09814753017910077
562,2018-11-24 14:00:00,107.00305342788866,110.7,0.033396084662252426
563,2018-11-24 13:00:00,119.26235529800014,120.5,0.010270910390040291
564,2018-11-24 12:00:00,97.7629680626933,101.8,0.039656502331107006
565,2018-11-24 11:00:00,72.06057611689818,73.6,0.02091608536823123
566,2018-11-24 10:00:00,42.82850154958455,47.5,0.09834733579821997
567,2018-11-24 09:00:00,45.26447372867576,52.4,0.13617416548328698
568,2018-11-24 08:00:00,49.02644938392399,54.3,0.09711879587616959
569,2018-11-24 07:00:00,47.562482207946815,56.4,0.15669357787328342
570,2018-11-24 06:00:00,48.98771093573078,55.6,0.11892606230700035
571,2018-11-24 05:00:00,56.85569102278919,59.6,0.046045452637765334
572,2018-11-24 04:00:00,70.4454038398342,71.6,0.016125644695053003
573,2018-11-24 03:00:00,81.97294863633756,92.8,0.1166708121084314
574,2018-11-24 02:00:00,97.46594945478827,107.2,0.09080271030981091
575,2018-11-24 01:00:00,104.447291648067,110.2,0.05220243513550825
576,2018-11-24 00:00:00,105.71047048659145,108.9,0.029288608938554256
577,2018-11-23 23:00:00,106.11959226451972,111.9,0.051656905589636114
578,2018-11-23 22:00:00,107.7387341880844,115.0,0.06314144184274441
579,2018-11-23 21:00:00,110.0251295919131,118.0,0.06758364752616017
580,2018-11-23 20:00:00,105.11764576086803,106.3,0.01112280563623676
581,2018-11-23 19:00:00,102.04257116013876,100.0,0.020425711601387633
582,2018-11-23 18:00:00,91.167265416815,96.2,0.05231532830753642
583,2018-11-23 17:00:00,91.29494793913736,102.6,0.11018569260100035
584,2018-11-23 16:00:00,84.2608202884161,96.4,0.12592510074257163
585,2018-11-23 15:00:00,65.46646399825481,78.9,0.17026027885608613
586,2018-11-23 14:00:00,57.69584776473437,70.5,0.18161918064206573
587,2018-11-23 13:00:00,55.05700170430919,68.3,0.19389455776999723
588,2018-11-23 12:00:00,53.21316647593964,62.3,0.14585607582761412
