,时间,云岗街道,云岗街道_root,相对偏差
394,2018-12-01 14:00:00,161.48843456317172,132.6,0.21786149745981695
395,2018-12-01 13:00:00,141.77988655050672,119.5,0.18644256527620684
396,2018-12-01 12:00:00,133.4371373455206,111.9,0.19246771533083637
397,2018-12-01 11:00:00,95.71901686351559,86.0,0.11301182399436734
398,2018-12-01 10:00:00,87.30529695364307,79.5,0.09817983589488133
399,2018-12-01 09:00:00,83.18447592133113,63.7,0.3058787428780396
400,2018-12-01 08:00:00,80.70578361946497,64.0,0.2610278690541401
401,2018-12-01 07:00:00,79.02814173803841,69.5,0.1370955645760923
402,2018-12-01 06:00:00,80.24114940490996,69.1,0.1612322634574525
403,2018-12-01 05:00:00,82.04553689191233,70.4,0.16541955812375467
404,2018-12-01 04:00:00,91.88593205379716,73.3,0.2535597824528945
405,2018-12-01 03:00:00,105.68770551546216,86.0,0.2289268083193274
406,2018-12-01 02:00:00,114.26661274895748,89.2,0.2810158379927969
407,2018-12-01 01:00:00,115.47803113469723,88.8,0.3004282785438878
408,2018-12-01 00:00:00,117.97535974204338,90.6,0.3021562885435253
409,2018-11-30 23:00:00,123.17960483885533,91.5,0.34622518949568665
410,2018-11-30 22:00:00,129.41120866018514,98.3,0.3164924583945589
411,2018-11-30 21:00:00,131.48636479734765,101.8,0.29161458543563507
412,2018-11-30 20:00:00,139.40507483847725,106.9,0.3040699236527338
413,2018-11-30 19:00:00,129.63638224770935,105.4,0.22994670064240363
414,2018-11-30 18:00:00,121.39316862105976,103.1,0.17743131543219945
415,2018-11-30 17:00:00,119.40626088907838,99.5,0.20006292350832544
416,2018-11-30 16:00:00,120.51528197932201,101.4,0.1885136289873965
417,2018-11-30 15:00:00,114.93513046828917,95.5,0.20350921956323742
418,2018-11-30 14:00:00,108.2464763246976,88.3,0.2258944091132231
419,2018-11-30 13:00:00,105.23392221350699,84.7,0.2424311949646633
420,2018-11-30 12:00:00,91.365066534161,73.8,0.23800903162819792
421,2018-11-30 11:00:00,83.47500618449021,69.6,0.19935353713348017
422,2018-11-30 10:00:00,73.74331043108899,57.3,0.28696876843087243
423,2018-11-30 09:00:00,68.47853009415573,55.2,0.2405530814158646
424,2018-11-30 08:00:00,66.06156252692,54.2,0.21884801710184495
425,2018-11-30 07:00:00,65.2212858614656,54.3,0.20112865306566494
426,2018-11-30 06:00:00,69.44567955811864,55.1,0.26035716076440363
427,2018-11-30 05:00:00,67.41727997019672,55.0,0.22576872673084938
428,2018-11-30 04:00:00,72.03853179660673,56.0,0.28640235351083454
429,2018-11-30 03:00:00,80.32940084703966,58.0,0.3849896697765459
430,2018-11-30 02:00:00,85.04515513698624,64.8,0.3124252335954667
431,2018-11-30 01:00:00,87.4705305787424,70.5,0.2407167457977645
432,2018-11-30 00:00:00,84.64524505253338,64.1,0.3205186435652635
433,2018-11-29 23:00:00,83.16337844034963,63.2,0.3158762411447726
434,2018-11-29 22:00:00,83.15632428766088,63.7,0.3054368020040954
435,2018-11-29 21:00:00,76.97470386951893,61.0,0.2618803913035891
436,2018-11-29 20:00:00,71.99719965832729,60.4,0.19200661685972337
437,2018-11-29 19:00:00,69.86585408037462,57.4,0.21717515819467978
438,2018-11-29 18:00:00,67.98642517336967,56.0,0.2140433066673155
439,2018-11-29 17:00:00,63.47338445779394,53.6,0.18420493391406603
440,2018-11-29 16:00:00,67.7628835288794,57.8,0.17236822714324226
441,2018-11-29 15:00:00,66.40134371353531,56.9,0.16698319355949584
442,2018-11-29 14:00:00,62.251314511616705,51.2,0.21584598655501372
443,2018-11-29 13:00:00,65.6957394799199,51.6,0.2731732457348816
444,2018-11-29 12:00:00,59.349660852538456,44.1,0.34579729824350236
445,2018-11-29 11:00:00,61.69974060333765,40.7,0.5159641425881486
446,2018-11-29 10:00:00,60.35034393991215,43.6,0.38418220045670065
447,2018-11-29 09:00:00,63.682577637665865,41.0,0.5532336009186797
448,2018-11-29 08:00:00,60.456366105729465,38.4,0.5743845340033715
449,2018-11-29 07:00:00,58.91918632937689,39.6,0.48785824064083055
450,2018-11-29 06:00:00,61.620735865399645,42.2,0.46020701102842754
451,2018-11-29 05:00:00,66.58405268594511,44.9,0.4829410397760604
452,2018-11-29 04:00:00,69.5348521116637,47.6,0.4608162208332709
453,2018-11-29 03:00:00,72.64105017268697,49.4,0.4704666026859712
454,2018-11-29 02:00:00,75.26549300852022,50.5,0.4904058021489153
455,2018-11-29 01:00:00,77.46446057560951,50.3,0.5400489180041652
456,2018-11-29 00:00:00,76.39494270281541,51.0,0.49794005299638067
457,2018-11-28 23:00:00,77.55510783053475,49.4,0.569941454059408
458,2018-11-28 22:00:00,79.92016480649426,47.2,0.6932238306460646
459,2018-11-28 21:00:00,80.62880605546934,50.0,0.6125761211093868
460,2018-11-28 20:00:00,81.4171196539073,49.0,0.6615738704879042
461,2018-11-28 19:00:00,77.13300430823865,47.5,0.6238527222787085
