,时间,南苑乡,南苑乡_root,相对偏差
411,2018-11-30 21:00:00,135.2012715267833,142.1,0.0485484058635939
412,2018-11-30 20:00:00,134.34219462747532,135.9,0.011462879856693768
413,2018-11-30 19:00:00,132.91760348252495,135.3,0.017608252161678183
414,2018-11-30 18:00:00,130.91165460455238,125.1,0.046456071978836035
415,2018-11-30 17:00:00,130.92605008697473,120.3,0.08832959340793624
416,2018-11-30 16:00:00,127.73316239817535,109.3,0.1686474144389328
417,2018-11-30 15:00:00,129.49708737639122,103.6,0.24997188587250221
418,2018-11-30 14:00:00,123.87058678795361,101.6,0.2191986888578112
419,2018-11-30 13:00:00,111.92140843448117,86.0,0.3014117259823391
420,2018-11-30 12:00:00,96.80728183345713,77.6,0.24751651847238573
421,2018-11-30 11:00:00,91.63315967283077,75.5,0.21368423407722875
422,2018-11-30 10:00:00,90.69217403262502,81.7,0.11006332965269297
423,2018-11-30 09:00:00,80.8126826548586,67.9,0.19017205677258614
424,2018-11-30 08:00:00,80.50427480730004,79.0,0.019041453256962472
425,2018-11-30 07:00:00,75.0452914875664,85.7,0.12432565358732323
426,2018-11-30 06:00:00,77.78991957773789,83.6,0.06949856964428354
427,2018-11-30 05:00:00,80.54229928823375,82.4,0.022544911550561358
428,2018-11-30 04:00:00,77.30568968975436,80.4,0.038486446644846344
429,2018-11-30 03:00:00,73.61922941893076,77.0,0.04390611144245769
430,2018-11-30 02:00:00,70.35820168123396,76.5,0.08028494534334688
431,2018-11-30 01:00:00,60.67594463095579,72.6,0.16424318690143533
432,2018-11-30 00:00:00,55.05410072494936,65.0,0.1530138350007791
433,2018-11-29 23:00:00,55.871685426405385,61.1,0.08556979662184315
434,2018-11-29 22:00:00,55.80209391483229,57.1,0.022730404293655172
435,2018-11-29 21:00:00,53.676220916689594,54.5,0.01511521253780561
436,2018-11-29 20:00:00,52.9947117882969,53.1,0.0019828288456328557
437,2018-11-29 19:00:00,53.65487885480033,53.4,0.004773012262178494
438,2018-11-29 18:00:00,59.46271510902188,56.6,0.05057800545975048
439,2018-11-29 17:00:00,59.38260140445545,51.1,0.1620861331595978
440,2018-11-29 16:00:00,58.50900297898209,49.2,0.1892073776215871
441,2018-11-29 15:00:00,57.70609470076391,50.2,0.1495237988199982
442,2018-11-29 14:00:00,58.22174965507637,49.2,0.1833688954283815
443,2018-11-29 13:00:00,56.98820045739394,48.0,0.18725417619570703
444,2018-11-29 12:00:00,55.76464101154626,48.8,0.1427180535152923
445,2018-11-29 11:00:00,61.20284375938732,49.5,0.2364210860482287
446,2018-11-29 10:00:00,56.079659122906534,46.6,0.2034261614357625
447,2018-11-29 09:00:00,52.333731465522284,47.2,0.10876549715089578
448,2018-11-29 08:00:00,42.316073832469336,45.8,0.07606825693298389
449,2018-11-29 07:00:00,40.961703197297396,45.8,0.1056396681812795
450,2018-11-29 06:00:00,42.26904539839586,42.1,0.004015330128167674
451,2018-11-29 05:00:00,47.643552043942606,47.3,0.0072632567429726964
452,2018-11-29 04:00:00,54.20115057379237,63.9,0.15178168116130877
453,2018-11-29 03:00:00,72.60056434810664,67.8,0.07080478389537828
454,2018-11-29 02:00:00,70.68739646543064,67.2,0.05189578073557492
455,2018-11-29 01:00:00,68.04108306241393,65.3,0.0419767697153742
456,2018-11-29 00:00:00,67.43793191237779,60.7,0.11100382063225352
457,2018-11-28 23:00:00,69.23236334364009,54.8,0.26336429459197247
458,2018-11-28 22:00:00,73.25803203031361,53.2,0.37703067726153405
459,2018-11-28 21:00:00,62.66580050777614,50.3,0.24584096436930702
460,2018-11-28 20:00:00,58.184463474545446,48.0,0.21217632238636344
