,时间,小屯公园,小屯公园_root,相对偏差
415,2018-11-30 17:00:00,153.84028954427177,117.6,0.308165727417277
416,2018-11-30 16:00:00,144.4822860480244,108.6,0.3304077904974624
417,2018-11-30 15:00:00,137.1595410998391,100.3,0.3674929322017856
418,2018-11-30 14:00:00,132.7600540811813,94.8,0.400422511404866
419,2018-11-30 13:00:00,125.81142704704007,95.6,0.3160191113707121
420,2018-11-30 12:00:00,111.88804463328329,78.8,0.4198990435695849
421,2018-11-30 11:00:00,99.83222918297741,80.9,0.2340201382321064
422,2018-11-30 10:00:00,95.487335043026,89.2,0.07048581886800437
423,2018-11-30 09:00:00,96.36670986432365,81.6,0.1809645816706331
424,2018-11-30 08:00:00,93.7674927687119,85.2,0.10055742686281574
425,2018-11-30 07:00:00,94.37445289267187,85.6,0.10250529080224154
426,2018-11-30 06:00:00,96.88408073419642,79.4,0.22020252813849384
427,2018-11-30 05:00:00,94.23342525930215,80.7,0.16770043691824224
428,2018-11-30 04:00:00,90.7343414734293,82.2,0.10382410551617145
429,2018-11-30 03:00:00,91.29700884336464,89.9,0.015539586689261746
430,2018-11-30 02:00:00,96.3016813170983,90.3,0.06646380196122152
431,2018-11-30 01:00:00,101.04922822675833,103.6,0.024621349162564324
432,2018-11-30 00:00:00,102.1893707236547,95.2,0.07341775970225527
433,2018-11-29 23:00:00,91.8589732857059,78.4,0.17167057762379967
434,2018-11-29 22:00:00,87.30639327516431,75.7,0.15332091512766588
435,2018-11-29 21:00:00,87.90548989062948,69.7,0.2611978463504947
436,2018-11-29 20:00:00,88.57141980796166,63.9,0.3860942066973656
437,2018-11-29 19:00:00,88.31950608484361,62.2,0.4199277505601866
438,2018-11-29 18:00:00,81.16439103545233,62.9,0.2903718765572707
439,2018-11-29 17:00:00,84.50670948417721,65.5,0.29017877075079707
440,2018-11-29 16:00:00,85.41604598954639,62.7,0.36229738420329166
441,2018-11-29 15:00:00,84.61699157798382,56.2,0.5056404195370786
442,2018-11-29 14:00:00,77.50187707760486,54.0,0.4352199458815715
443,2018-11-29 13:00:00,77.85360003706828,47.8,0.6287364024491272
444,2018-11-29 12:00:00,71.66563173429446,51.2,0.3997193698104387
445,2018-11-29 11:00:00,76.17749090587779,57.5,0.3248259287978746
446,2018-11-29 10:00:00,72.97678093821696,65.8,0.10906961912183837
