,时间,花乡,花乡_root,相对偏差
383,2018-12-02 01:00:00,187.42054455948613,94.3,0.9874925191886122
384,2018-12-02 00:00:00,191.46527464621906,96.3,0.988216766835089
385,2018-12-01 23:00:00,199.94466655336987,90.3,1.2142266506463995
386,2018-12-01 22:00:00,199.01473163954302,96.3,1.0666119588737593
387,2018-12-01 21:00:00,193.79892415778238,97.9,0.9795600016116688
388,2018-12-01 20:00:00,210.6447316686187,94.8,1.2219908403862734
389,2018-12-01 19:00:00,206.01577995792843,95.0,1.1685871574518782
390,2018-12-01 18:00:00,201.96910921481958,94.7,1.1327255460910197
391,2018-12-01 17:00:00,208.6994991118909,101.8,1.0500933115116986
392,2018-12-01 16:00:00,202.45795073108908,106.6,0.8992303070458639
393,2018-12-01 15:00:00,171.2134446450442,88.6,0.9324316551359393
394,2018-12-01 14:00:00,171.90662803988621,90.4,0.9016219915916616
395,2018-12-01 13:00:00,173.81755236500123,91.5,0.8996453810382649
396,2018-12-01 12:00:00,161.40225614900424,80.2,1.0124969594638933
397,2018-12-01 11:00:00,121.04134091088294,56.8,1.131009523078925
398,2018-12-01 10:00:00,94.10397324520176,50.9,0.8488010460746908
399,2018-12-01 09:00:00,96.75278050555822,57.4,0.6855885105497949
400,2018-12-01 08:00:00,95.45003293731473,56.6,0.6863963416486701
401,2018-12-01 07:00:00,94.53792560974395,57.0,0.6585600984165605
402,2018-12-01 06:00:00,98.21051354770886,58.3,0.6845714159126735
403,2018-12-01 05:00:00,102.46704930243256,59.3,0.7279434958251697
404,2018-12-01 04:00:00,103.40571684601456,59.7,0.7320890593972287
405,2018-12-01 03:00:00,107.8945277547545,59.9,0.8012442029174376
406,2018-12-01 02:00:00,110.17790670438656,67.0,0.6444463687221874
407,2018-12-01 01:00:00,120.34163646495334,80.5,0.494927161055321
408,2018-12-01 00:00:00,137.71146133882638,85.9,0.6031602018489682
409,2018-11-30 23:00:00,133.08687325957817,90.4,0.47219992543781153
410,2018-11-30 22:00:00,148.44363411129683,88.1,0.6849447685731764
411,2018-11-30 21:00:00,148.62125276155635,83.6,0.7777661813583296
412,2018-11-30 20:00:00,145.62722119705603,83.1,0.7524334680752833
413,2018-11-30 19:00:00,143.97117587631772,67.5,1.132906309278781
414,2018-11-30 18:00:00,136.01068154491392,66.7,1.039140652847285
415,2018-11-30 17:00:00,131.71033845029484,68.2,0.931236634168546
416,2018-11-30 16:00:00,127.6603222888272,72.8,0.7535758556157583
417,2018-11-30 15:00:00,121.64551464461393,69.6,0.7477803828249129
418,2018-11-30 14:00:00,121.86058533141839,69.6,0.7508704788996897
419,2018-11-30 13:00:00,113.78082439726256,61.4,0.8531078892062307
420,2018-11-30 12:00:00,101.32771157736336,54.0,0.8764391032845067
421,2018-11-30 11:00:00,91.51229385749785,50.6,0.8085433568675464
422,2018-11-30 10:00:00,91.52591205739371,49.2,0.860282765394181
423,2018-11-30 09:00:00,88.1398179883271,52.5,0.6788536759681352
424,2018-11-30 08:00:00,86.34309830426061,52.7,0.6383889621301823
425,2018-11-30 07:00:00,89.95531048377472,50.7,0.7742664789699155
426,2018-11-30 06:00:00,85.90920594342312,47.9,0.7935116063345119
427,2018-11-30 05:00:00,82.83178899547741,46.4,0.7851678662818408
428,2018-11-30 04:00:00,86.52470863071346,47.8,0.8101403479228759
429,2018-11-30 03:00:00,90.52242563695783,51.6,0.7543105743596479
430,2018-11-30 02:00:00,93.53886109639241,53.6,0.745128005529709
431,2018-11-30 01:00:00,90.89429641397697,55.2,0.6466358046010321
432,2018-11-30 00:00:00,88.3237418117958,54.9,0.6088113262622186
433,2018-11-29 23:00:00,85.28168920282741,48.0,0.7767018583922377
434,2018-11-29 22:00:00,75.80541667334708,48.3,0.5694703244999397
435,2018-11-29 21:00:00,75.54107680890039,45.2,0.671262761258858
436,2018-11-29 20:00:00,75.06032111811766,45.0,0.6680071359581702
437,2018-11-29 19:00:00,74.2647420143722,40.5,0.8336973336882025
438,2018-11-29 18:00:00,72.45161522212226,39.2,0.8482554903602615
439,2018-11-29 17:00:00,72.22346946407265,42.8,0.6874642398147817
440,2018-11-29 16:00:00,76.62283660455844,43.8,0.7493798311543025
441,2018-11-29 15:00:00,75.1036311848604,42.8,0.7547577379640282
442,2018-11-29 14:00:00,68.90470416307909,38.7,0.7804833117074699
443,2018-11-29 13:00:00,69.14910990211834,39.2,0.7640079056662841
444,2018-11-29 12:00:00,70.481444305511,40.1,0.7576420026311971
445,2018-11-29 11:00:00,74.41310943170018,35.2,1.1140087906733003
446,2018-11-29 10:00:00,73.3173247095539,37.2,0.9708958255256424
447,2018-11-29 09:00:00,78.88988575836682,36.6,1.155461359518219
448,2018-11-29 08:00:00,74.57809763638355,37.6,0.9834600435208389
449,2018-11-29 07:00:00,67.36744421245058,37.6,0.7916873460758131
450,2018-11-29 06:00:00,69.9171317565176,36.6,0.91030414635294
451,2018-11-29 05:00:00,80.21290700266141,37.0,1.1679164054773354
452,2018-11-29 04:00:00,84.3810123522527,45.2,0.8668365564657675
453,2018-11-29 03:00:00,84.8450102114197,46.7,0.8168096405014925
454,2018-11-29 02:00:00,82.41083132574813,45.1,0.8272911602161448
455,2018-11-29 01:00:00,81.42614305585323,47.1,0.7287928461964592
456,2018-11-29 00:00:00,84.32152296705914,49.0,0.7208474074910028
457,2018-11-28 23:00:00,83.16656814187482,47.8,0.7398863628007285
458,2018-11-28 22:00:00,86.36041352323781,46.6,0.853227758009395
459,2018-11-28 21:00:00,86.39746990777661,42.9,1.0139270374773104
460,2018-11-28 20:00:00,83.49962347125117,39.2,1.130092435491101
461,2018-11-28 19:00:00,78.95621004582605,37.4,1.1111286108509641
462,2018-11-28 18:00:00,72.38944342391837,36.0,1.0108178728866213
463,2018-11-28 17:00:00,69.58387436957295,36.8,0.8908661513470912
464,2018-11-28 16:00:00,69.33528194468036,39.0,0.7778277421712912
465,2018-11-28 15:00:00,68.86935163304211,40.2,0.7131679510706993
466,2018-11-28 14:00:00,68.84752816826929,39.5,0.7429753966650454
467,2018-11-28 13:00:00,67.41419464573931,39.1,0.7241482006582944
468,2018-11-28 12:00:00,65.74353238480117,37.9,0.7346578465646747
469,2018-11-28 11:00:00,70.01800145151972,41.2,0.6994660546485368
471,2018-11-28 09:00:00,61.84713559538412,35.1,0.7620266551391486
472,2018-11-28 08:00:00,76.60009253361491,41.1,0.8637492100636232
473,2018-11-28 07:00:00,76.76762091483303,41.9,0.8321627903301441
474,2018-11-28 06:00:00,77.39903541433583,43.5,0.7792881704445018
475,2018-11-28 05:00:00,74.41663837741413,40.1,0.8557765181400032
476,2018-11-28 04:00:00,72.32227196240228,40.5,0.7857351101827724
477,2018-11-28 03:00:00,70.94198497111367,38.7,0.8331262266437639
478,2018-11-28 02:00:00,68.30962496338586,37.2,0.8362802409512325
479,2018-11-28 01:00:00,66.39283840865876,35.3,0.8808169520866506
480,2018-11-28 00:00:00,65.47575141470756,34.9,0.8760960290747153
481,2018-11-27 23:00:00,64.50008186661242,30.0,1.1500027288870807
503,2018-11-27 01:00:00,160.7774818681892,111.2,0.4458406642822769
504,2018-11-27 00:00:00,363.8540366748472,186.9,0.9467845728991288
505,2018-11-26 23:00:00,308.4082859246805,199.7,0.5443579665732625
506,2018-11-26 22:00:00,336.3208656391199,207.9,0.6177049814291482
507,2018-11-26 21:00:00,354.3453752104015,202.4,0.7507182569683869
508,2018-11-26 20:00:00,339.31391161759956,167.7,1.023338769335716
